Spleen weight IMPC_IMM_001_001,1,simpleParameter,Tick,       ,       ,       ,       ,,       ,g,FLOAT
Total number of acquired events in Panel A IMPC_IMM_026_001,1.3,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
Percentage of live gated events in Panel A IMPC_IMM_002_001,1.6,simpleParameter,       ,       ,Tick,       ,       ,,       ,%,FLOAT
T cells (panel A) IMPC_IMM_003_001,1.5,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
NKT cells (panel A) IMPC_IMM_004_001,1.5,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
NK cells (panel A) IMPC_IMM_005_001,1.5,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
Others IMPC_IMM_006_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 T cells IMPC_IMM_007_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 T cells IMPC_IMM_008_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
DN T cells IMPC_IMM_009_001,1.5,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DP T cells IMPC_IMM_010_001,1.2,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD4 NKT cells IMPC_IMM_011_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 NKT cells IMPC_IMM_012_001,1.5,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN NKT cells IMPC_IMM_013_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD25+ T cells IMPC_IMM_014_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD25- T cells IMPC_IMM_015_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 CD25+ T cells IMPC_IMM_016_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 CD25- T cells IMPC_IMM_017_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
DN CD25+ T cells IMPC_IMM_018_001,1.5,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD25- T cells IMPC_IMM_019_001,1.5,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD4 CD25+ NKT cells IMPC_IMM_020_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD25- NKT cells IMPC_IMM_021_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 CD25+ NKT cells IMPC_IMM_022_001,1.5,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD8 CD25- NKT cells IMPC_IMM_023_001,1.5,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD25+ NKT cells IMPC_IMM_024_001,1.4,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
DN CD25- NKT cells IMPC_IMM_025_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD44+CD62L- T cells IMPC_IMM_028_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD44+CD62L+ T cells IMPC_IMM_029_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD44-CD62L+ T cells IMPC_IMM_030_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD44-CD62L- T cells IMPC_IMM_031_001,1.2,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD8 CD44+CD62L- T cells IMPC_IMM_032_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 CD44+CD62L+ T cells IMPC_IMM_033_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 CD44-CD62L+ T cells IMPC_IMM_034_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD8 CD44-CD62L- T cells IMPC_IMM_035_001,1.2,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD44+CD62L- T cells IMPC_IMM_036_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD44+CD62L+ T cells IMPC_IMM_037_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD44-CD62L+ T cells IMPC_IMM_038_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD44-CD62L- T cells IMPC_IMM_039_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD4 CD44+CD62L- NKT cells IMPC_IMM_040_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD44+CD62L+ NKT cells IMPC_IMM_041_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
CD4 CD44-CD62L+ NKT cells IMPC_IMM_042_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD8 CD44+CD62L- NKT cells IMPC_IMM_043_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD8 CD44+CD62L+ NKT cells IMPC_IMM_044_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
CD8 CD44-CD62L+ NKT cells IMPC_IMM_045_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
DN CD44+CD62L- NKT cells IMPC_IMM_046_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
DN CD44+CD62L+ NKT cells IMPC_IMM_047_001,1.2,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
DN CD44-CD62L+ NKT cells IMPC_IMM_048_001,1.3,simpleParameter,       ,       ,       ,       ,       ,,       ,,INT
Total number of acquired events in Panel B IMPC_IMM_027_001,1.1,simpleParameter,       ,       ,Tick,       ,       ,,       ,,INT
