IMPC_IMM_002_001	CLOG-/LIVE|FREQ.OFPARENT
IMPC_IMM_003_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-|COUNT
IMPC_IMM_004_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS|COUNT
IMPC_IMM_005_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKCELLS|COUNT
IMPC_IMM_006_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/OTHERS|COUNT
IMPC_IMM_007_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS|COUNT
IMPC_IMM_008_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS|COUNT
IMPC_IMM_009_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS|COUNT
IMPC_IMM_010_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DPTCELLS|COUNT
IMPC_IMM_011_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD4+NKTCELLS|COUNT
IMPC_IMM_012_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD8+NKTCELLS|COUNT
IMPC_IMM_013_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/DNNKTCELLS|COUNT
IMPC_IMM_014_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS/CD4+CD25+TCELLS|COUNT
IMPC_IMM_015_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS/CD4+CD25-TCELLS|COUNT
IMPC_IMM_016_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS/CD8+CD25+TCELLS|COUNT
IMPC_IMM_017_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS/CD8+CD25-TCELLS|COUNT
IMPC_IMM_018_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS/DNCD25+TCELLS|COUNT
IMPC_IMM_019_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS/DNCD25-TCELLS|COUNT
IMPC_IMM_020_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD4+NKTCELLS/CD4+CD25+NKTCELLS|COUNT
IMPC_IMM_021_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD4+NKTCELLS/CD4+CD25-NKTCELLS|COUNT
IMPC_IMM_022_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD8+NKTCELLS/CD8+CD25+NKTCELLS|COUNT
IMPC_IMM_023_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD8+NKTCELLS/CD8+CD25-NKTCELLS|COUNT
IMPC_IMM_024_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/DNNKTCELLS/DNCD25+NKTCELLS|COUNT
IMPC_IMM_025_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/DNNKTCELLS/DNCD25-NKTCELLS|COUNT
IMPC_IMM_026_001	CLOG-|COUNT
IMPC_IMM_028_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS/CD4+CD44+C62L-TCELLS|COUNT
IMPC_IMM_029_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS/CD4+CD44+CD62L+TCELLS|COUNT
IMPC_IMM_030_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS/CD4+CD44-CD62L+TCELLS|COUNT
IMPC_IMM_031_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD4TCELLS/CD4+CD44-CD62L-TCELLS|COUNT
IMPC_IMM_032_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS/CD8+CD44+CD62L-|COUNT
IMPC_IMM_033_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS/CD8+CD44+CD62L+TCELLS|COUNT
IMPC_IMM_034_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS/CD8+CD44-CD62L+TCELLS|COUNT
IMPC_IMM_035_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/CD8TCELLS/CD8+CD44-CD62L-TCELLS|COUNT
IMPC_IMM_036_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS/DN+CD44+CD62L-TCELLS|COUNT
IMPC_IMM_037_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS/DN+CD44+CD62L+TCELLS|COUNT
IMPC_IMM_038_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS/DN+CD44-CD62L+TCELLS|COUNT
IMPC_IMM_039_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/CD5+,CD161-/DNTCELLS/DN+CD44-CD62L-TCELLS|COUNT
IMPC_IMM_040_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD4+NKTCELLS/CD4+CD44+C62L-NKTCELLS|COUNT
IMPC_IMM_041_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD4+NKTCELLS/CD4+CD44+CD62L+NKTCELLS|COUNT
IMPC_IMM_042_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD4+NKTCELLS/CD4CD44-CD62L+NKTCELLS|COUNT
IMPC_IMM_043_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD8+NKTCELLS/CD8+CD44+CD62L-NKTCELLS|COUNT
IMPC_IMM_044_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD8+NKTCELLS/CD8+CD44+CD62L+NKTCELLS|COUNT
IMPC_IMM_045_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/CD8+NKTCELLS/CD8+CD44-CD62L+NKTCELLS|COUNT
IMPC_IMM_046_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/DNNKTCELLS/DNCD44+CD62L-NKTCELLS|COUNT
IMPC_IMM_047_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/DNNKTCELLS/DNCD44+CD62L+NKTCELLS|COUNT
IMPC_IMM_048_001	CLOG-/LIVE/SIZE/FSCSINGLETS/SSCSINGLETS/NKTCELLS/DNNKTCELLS/DNCD44-CD62L+NKTCELLS|COUNT
