IMPC_IMM_027_001	CLOG-|COUNT
IMPC_IMM_049_001	CLOG-/LIVE|FREQ.OFPARENT
IMPC_IMM_050_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/GRANULOCYTES|COUNT
IMPC_IMM_051_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/MONOCYTES|COUNT
IMPC_IMM_052_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/EOSINOPHILS|COUNT
IMPC_IMM_053_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKCELLS|COUNT
IMPC_IMM_054_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKCELLS/Q1:CD5-,CD11B-,LY6C+|COUNT
IMPC_IMM_055_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKCELLS/Q2:CD5-,CD11B+,LY6C+|COUNT
IMPC_IMM_056_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKCELLS/Q4:CD5-,CD11B-,LY6C-|COUNT
IMPC_IMM_057_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKCELLS/Q3:CD5-,CD11B+,LY6C-|COUNT
IMPC_IMM_058_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKTCELLS|COUNT
IMPC_IMM_059_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKTCELLS/Q1:CD5+,CD11B-,LY6C+|COUNT
IMPC_IMM_060_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/CD161+/NKTCELLS/Q4:CD5+,CD11B-,LY6C-|COUNT
IMPC_IMM_061_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/TCELLS|COUNT
IMPC_IMM_063_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/BCELLS|COUNT
IMPC_IMM_064_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/BCELLS/B1BCELLS|COUNT
IMPC_IMM_065_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/BCELLS/B2BCELLS|COUNT
IMPC_IMM_066_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/BCELLS/B2BCELLS/FOLLICULAR|COUNT
IMPC_IMM_068_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/BCELLS/B2BCELLS/PRE-B|COUNT
IMPC_IMM_070_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/BCELLS/B2BCELLS/MZB|COUNT
IMPC_IMM_072_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/CDCS|COUNT
IMPC_IMM_073_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/CDCS/CD11B+|COUNT
IMPC_IMM_076_001	CLOG-/LIVE/SIZE/SSCSINGLETS/FSCSINGLETS/NOTGRANULOCYTES/NOTMONOCYTES/NOTEOSINOPHILS/NOTCD161+/MHCII+/RPMACROPHAGE|COUNT
